id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
741094877172255290,Industrial Luxury Downtown Penthouse with King Bed,314373047,Ashley,,Downtown,39.969313,-82.9974731,Entire home/apt,217,1,0,,,4,302,0,2022-8808
741382245974234708,Downtown Columbus Luxury Apartment,224493353,Dom,,Downtown,39.95993,-82.99915,Entire home/apt,113,2,8,2022-12-22,3.64,19,332,8,2022-4865
741383190263712238,Luxury Downtown Columbus Apartment,224493353,Dom,,Downtown,39.95872,-82.99858,Entire home/apt,113,2,5,2022-12-11,2.68,19,348,5,2022-9834
741393654587229347,*Brand New* Bohemian Sophistican 5BR House l Free,158439641,GH Hospitality,,Near North/University,40.01088,-83.00119,Entire home/apt,215,2,5,2022-11-27,2.68,75,360,5,2022-2330
741609747192930745,NEW! Low-Key Columbus Apartment - Great Location!,121719854,Evolve,,Near North/University,39.99649,-82.99569,Entire home/apt,72,2,0,,,17,360,0,2021-1424
741681551485795532,Cozy Central CBUS Home | Huge yard & Pets Welcome!,188927124,Don,,North Linden,40.01765,-82.99289,Entire home/apt,171,1,4,2022-11-27,1.79,9,354,4,2022-4714
741875842787260999,Cheerful 1 Bedroom in Columbus,78310390,Gary,,Clintonville,40.07556,-83.01662,Private room,22,30,0,,,1,358,0,
742105924853759193,The Nook on Neil - 3BDRM/4BED,137258738,Emily,,Near North/University,39.97727,-83.01086,Entire home/apt,153,1,1,2022-11-20,0.77,1,241,1,2022-3329
742241654555132766,"3 bedroom house, free WI-FI, free parking,bus stop",234467382,Emeldine,,Eastmoor/Walnut Ridge,39.9672,-82.91332,Entire home/apt,160,2,0,,,4,359,0,2022-3473
742632091765743375,Livingston Flat - A German Village Gem,481684972,Jeni,,Near South,39.9517,-82.99442,Entire home/apt,110,1,2,2022-12-17,2,1,174,2,2022-3451
742676662412685084,2-Bedroom Condo with Free Parking,191916098,Jami,,South Linden,40.00111,-82.9755,Entire home/apt,77,1,11,2022-12-06,5.32,4,292,11,2022-1416
742766572042410446,Cozy Condo - Steps From High St - Short North,345450411,Evan,,Near North/University,39.97926,-83.0009,Entire home/apt,120,2,5,2022-11-27,2.38,14,87,5,2022-1894
742832793669669229,Modern 3 bedrooms house-Mins to Hospital/Downtown!,119547269,Lina,,Near South,39.94164,-82.96904,Entire home/apt,161,2,1,2022-11-26,0.91,2,25,1,2022-1201
742851797773389469,"Chic 4 Beds - Close to Downtown, long term welcome",119547269,Lina,,Near South,39.94351,-82.96759,Entire home/apt,147,2,3,2022-11-27,1.70,2,91,3,2022-1228
743416151124719258,G. Village Stunner comfy cozy and cool w/parking.,51153135,Allison,,Near South,39.9470866,-82.9911664,Entire home/apt,202,1,4,2022-12-19,2.61,2,83,4,2022-3070
743472470360865402,Lovely apartment located Short North Columbus,370932411,Luisana,,Near North/University,39.9875872,-83.0129185,Entire home/apt,112,1,0,,,2,344,0,2022-2127
744797527664009169,Luxury Apartment in Downtown Columbus,345186110,Ak,,Downtown,39.95502,-83.00098,Entire home/apt,123,1,3,2022-11-27,1.96,1,50,3,2020-1621
744924656397471451,3 bedroom modern townhouse in primetime location,156823665,Larry,,Near North/University,39.98249,-83.00188,Entire home/apt,242,2,5,2022-12-11,2.54,2,171,5,2022-6942
